Make,Model,Year,Color,Price,Horsepower,FuelEconomy,Trim
Kia,K5,2022,Burgundy,24721,290,27,GT
Audi,A4,2023,Blue,37297,201,30,Premium 40
Nissan,Rogue,2024,Black,26169,201,33,SV
Ford,Bronco,2024,Orange,45861,275,17,Badlands
Mercedes-Benz,C-Class,2023,Orange,52077,402,22,AMG C 43
Tesla,Model Y,2025,Charcoal,51691,456,111,Performance
Honda,Pilot,2023,Midnight Blue,43182,285,20,TrailSport
BMW,X5,2023,Matte Black,76002,523,19,M60i
Hyundai,Tucson,2023,Orange,27870,226,38,Hybrid Blue
Honda,Civic,2024,Orange,26524,180,34,Touring
Kia,Telluride,2022,White,29548,291,23,S
Chevrolet,Corvette,2024,Yellow,68036,490,19,Stingray 2LT
Honda,Pilot,2022,Silver,38492,285,20,TrailSport
Mercedes-Benz,GLE,2024,Yellow,65807,375,22,GLE 450
Mercedes-Benz,C-Class,2023,Blue,49501,402,22,AMG C 43
Volkswagen,Tiguan,2020,Red,19592,184,27,SE
Subaru,Outback,2024,Charcoal,29818,182,28,Premium
Audi,A4,2023,Grey,36200,201,30,Premium 40
Volkswagen,Jetta,2024,Silver,28788,228,30,GLI Autobahn
Honda,Civic,2024,Burgundy,25548,180,36,EX
BMW,X5,2025,Burgundy,71567,483,58,xDrive50e
Toyota,Camry,2025,Charcoal,32876,301,25,TRD
Volkswagen,Jetta,2024,Silver,18086,158,34,S
Nissan,Rogue,2023,Black,31379,201,33,Platinum
Ford,F-150,2025,White,64652,400,20,Lariat
BMW,X5,2023,Burgundy,55477,375,25,sDrive40i
Mercedes-Benz,GLE,2023,Matte Black,74378,429,20,AMG GLE 53
Ford,Bronco,2024,Burgundy,36832,275,20,Big Bend
Ford,Mustang,2022,Red,23709,315,26,EcoBoost
Volkswagen,Tiguan,2025,Yellow,30308,184,27,S
Honda,Pilot,2025,White,38558,285,22,Sport
Kia,K5,2023,Matte Black,21906,180,31,LXS
Mercedes-Benz,GLE,2022,Green,68948,429,20,AMG GLE 53
Chevrolet,Silverado 1500,2024,Blue,50413,355,19,RST
Ford,Bronco,2024,Black,44167,275,20,Outer Banks
Toyota,Camry,2022,Burgundy,24039,203,31,XLE
Subaru,Crosstrek,2024,Yellow,21511,152,29,Base
Ram,1500,2023,Matte Black,45702,395,22,Laramie
Kia,K5,2024,Silver,30981,290,27,GT
Ford,F-150,2024,Silver,42927,325,20,XLT
Mercedes-Benz,GLE,2020,Red,46825,375,22,GLE 450
Jeep,Wrangler,2021,Matte Black,27980,285,19,Willys
Kia,Telluride,2020,Grey,24217,291,23,S
Honda,CR-V,2024,Black,28723,190,30,EX
Nissan,Rogue,2020,Pearl White,19263,201,33,S
Volkswagen,Tiguan,2024,Green,36523,184,26,SEL R-Line
Hyundai,Elantra,2021,Burgundy,20113,201,31,N Line
Ram,1500,2022,Matte Black,36235,305,23,Big Horn
Tesla,Model S,2021,Grey,55110,670,120,Long Range
Volkswagen,Jetta,2021,Orange,22487,228,30,GLI Autobahn
Audi,A4,2022,Grey,44309,349,24,S4
Ram,1500,2021,Midnight Blue,40773,395,22,Laramie
Audi,Q5,2022,Green,37536,261,25,Premium Plus 45
Ram,1500,2024,Grey,35310,305,23,Tradesman
Ram,1500,2022,Burgundy,33423,305,23,Big Horn
Mercedes-Benz,GLE,2023,Pearl White,57003,375,22,GLE 450
Audi,Q5,2024,Matte Black,42886,201,26,Premium 40
Nissan,Rogue,2024,Red,25837,201,33,S
Tesla,Model Y,2024,Midnight Blue,48843,456,111,Performance
Volkswagen,Tiguan,2022,Orange,22702,184,27,SE
BMW,3 Series,2023,Orange,49180,382,26,M340i
Audi,A4,2020,Black,28973,201,30,Premium 40
Hyundai,Tucson,2024,Pearl White,26052,187,28,SEL
BMW,X5,2020,Red,49780,483,58,xDrive50e
Honda,Pilot,2024,Charcoal,46493,285,20,TrailSport
Hyundai,Tucson,2020,Green,17532,187,28,SE
Tesla,Model S,2023,Blue,64175,670,120,Long Range
Kia,K5,2021,Blue,21161,180,31,GT-Line
Jeep,Wrangler,2024,Black,34883,285,19,Willys
Kia,Telluride,2021,Burgundy,27800,291,23,S
Nissan,Rogue,2020,Yellow,21372,201,33,SV
Hyundai,Elantra,2022,Green,21060,201,31,N Line
Mercedes-Benz,GLE,2023,Pearl White,51590,255,24,GLE 350
BMW,3 Series,2023,White,66300,473,19,M3
Honda,Civic,2024,White,22404,158,35,LX
Hyundai,Tucson,2024,Orange,28731,187,28,SEL
Nissan,Altima,2022,Yellow,21334,188,32,S
Subaru,Outback,2021,Pearl White,30492,260,23,Wilderness
Subaru,Crosstrek,2025,Blue,26257,152,29,Base
Mercedes-Benz,C-Class,2022,Charcoal,35585,255,30,C 300
BMW,X5,2022,Green,55089,483,58,xDrive50e
Audi,Q5,2022,Midnight Blue,36017,201,26,Premium 40
Kia,Telluride,2022,Orange,39418,291,23,SX Prestige
Volkswagen,Jetta,2024,Yellow,27607,228,30,GLI Autobahn
Volkswagen,Jetta,2024,Silver,19041,158,34,Sport
Audi,Q5,2020,Matte Black,34534,261,25,Premium Plus 45
Volkswagen,Jetta,2023,Pearl White,25660,228,30,GLI Autobahn
Kia,K5,2024,Green,28273,290,27,GT
Mercedes-Benz,C-Class,2020,Black,30382,255,30,C 300
Nissan,Altima,2023,White,23506,188,32,S
Volkswagen,Jetta,2024,Green,31341,228,30,GLI Autobahn
Volkswagen,Tiguan,2022,Orange,28311,184,26,SEL R-Line
Ford,Bronco,2020,Silver,27767,275,20,Big Bend
Hyundai,Elantra,2025,Green,29395,201,31,N Line
BMW,3 Series,2023,Black,38631,255,29,330i
Tesla,Model S,2022,White,58434,670,120,Long Range
Toyota,RAV4,2022,Midnight Blue,25916,203,28,Adventure
Toyota,RAV4,2024,Midnight Blue,25090,203,30,LE
Ford,F-150,2024,Orange,45143,325,20,XLT
Mercedes-Benz,GLE,2022,Yellow,68266,429,20,AMG GLE 53
Volkswagen,Tiguan,2023,Black,32410,184,26,SEL R-Line
Mercedes-Benz,C-Class,2022,Red,36475,255,30,C 300
Tesla,Model 3,2022,Red,42177,510,113,Performance
Volkswagen,Jetta,2021,Grey,23525,228,30,GLI Autobahn
Honda,Civic,2024,Orange,29315,180,34,Touring
Chevrolet,Silverado 1500,2023,Red,60921,420,15,ZR2
Ford,Explorer,2025,White,36005,300,24,XLT
Hyundai,Elantra,2022,Matte Black,18072,147,34,SEL
Ford,Bronco,2022,Charcoal,37253,275,20,Outer Banks
BMW,X5,2024,Red,67844,483,58,xDrive50e
Jeep,Grand Cherokee,2022,Yellow,48746,293,22,Summit
Hyundai,Tucson,2022,Silver,24360,187,28,SEL
Ram,1500,2023,Silver,36676,305,23,Big Horn
Chevrolet,Silverado 1500,2024,Pearl White,34742,310,20,WT
Jeep,Grand Cherokee,2025,Black,36443,293,22,Laredo
Nissan,Altima,2023,Grey,22729,188,32,S
Ram,1500,2024,Pearl White,90600,702,12,TRX
Toyota,Prius,2023,Grey,30361,194,52,Limited
Hyundai,Tucson,2022,Charcoal,21131,187,28,SE
Jeep,Wrangler,2024,Yellow,85269,470,14,Rubicon 392
Toyota,Tacoma,2024,Black,36491,278,20,TRD Off-Road
Subaru,Crosstrek,2025,Blue,31319,182,29,Limited
Mercedes-Benz,C-Class,2024,Silver,42781,255,30,C 300
Mercedes-Benz,C-Class,2022,Black,47730,402,22,AMG C 43
Honda,Pilot,2023,Silver,40253,285,20,TrailSport
Subaru,Outback,2020,Silver,26081,260,23,Wilderness
Volkswagen,Tiguan,2024,Red,29398,184,27,SE
Tesla,Model 3,2020,Burgundy,32884,393,130,Long Range
Ford,F-150,2021,Blue,48465,400,20,Lariat
Jeep,Wrangler,2025,Black,30102,285,20,Sport
BMW,3 Series,2023,Burgundy,48248,382,26,M340i
Volkswagen,Jetta,2021,White,15343,158,34,Sport
BMW,X5,2020,Burgundy,48537,483,58,xDrive50e
Ram,1500,2023,Midnight Blue,33735,305,23,Tradesman
BMW,3 Series,2024,Green,53195,382,26,M340i
Mercedes-Benz,C-Class,2024,Green,44144,255,30,C 300
Kia,K5,2023,Black,28128,290,27,GT
BMW,3 Series,2023,Orange,36864,255,29,330i
Chevrolet,Silverado 1500,2021,Blue,34841,310,20,LT
Tesla,Model 3,2023,Midnight Blue,34346,279,132,RWD
Nissan,Altima,2022,White,27627,248,29,SR VC-Turbo
Honda,CR-V,2022,Silver,26550,204,40,Sport Hybrid
Kia,K5,2021,Silver,19159,180,31,GT-Line
Ford,Bronco,2022,Matte Black,40662,275,17,Badlands
Ford,Explorer,2024,Matte Black,32254,300,24,XLT
Hyundai,Elantra,2024,Midnight Blue,32648,276,24,N
Toyota,Prius,2022,White,24362,194,52,XLE
Jeep,Grand Cherokee,2024,Yellow,43998,293,22,Limited
Kia,Telluride,2022,Red,26831,291,23,LX
Nissan,Rogue,2022,Green,30975,201,33,Platinum
Nissan,Altima,2023,Midnight Blue,30853,248,29,SR VC-Turbo
Chevrolet,Silverado 1500,2023,Charcoal,42458,310,20,LT
Ram,1500,2020,Matte Black,34790,395,22,Laramie
BMW,3 Series,2025,Red,44107,255,29,330i
Mercedes-Benz,GLE,2022,Green,47614,255,24,GLE 350
Ram,1500,2024,White,62335,395,22,Limited
Subaru,Outback,2021,Grey,22033,182,28,Premium
BMW,3 Series,2022,Green,44415,382,26,M340i
Tesla,Model S,2024,Blue,83494,1020,116,Plaid
Tesla,Model Y,2021,Silver,34305,384,122,Long Range
Audi,Q5,2023,Black,39448,201,26,Premium 40
Toyota,Prius,2024,Silver,24073,194,57,LE
Ram,1500,2022,Silver,31439,305,23,Tradesman
Chevrolet,Corvette,2021,Burgundy,54821,490,19,Stingray 2LT
Nissan,Altima,2020,Grey,22686,248,29,SR VC-Turbo
Subaru,Outback,2024,Grey,26025,182,28,Base
Chevrolet,Tahoe,2024,Blue,51257,355,17,LS
Nissan,Rogue,2023,Yellow,25709,201,33,SV
BMW,X5,2024,Green,81040,523,19,M60i
Audi,Q5,2023,Burgundy,41340,261,25,Premium Plus 45
Jeep,Wrangler,2025,Charcoal,90453,470,14,Rubicon 392
Ford,Bronco,2023,Midnight Blue,40549,275,17,Badlands
Ram,1500,2020,Yellow,26609,305,23,Tradesman
Subaru,Crosstrek,2021,Burgundy,17204,152,29,Base
Toyota,Prius,2024,Matte Black,28244,194,52,XLE
Honda,CR-V,2020,White,20797,190,30,LX
Audi,Q5,2022,Orange,36535,201,26,Premium 40
Volkswagen,Tiguan,2022,Yellow,29031,184,26,SEL R-Line
Hyundai,Elantra,2023,Black,19191,147,36,SE
Toyota,RAV4,2024,Red,29393,203,30,XLE
Toyota,Camry,2022,Matte Black,25646,301,25,TRD
BMW,X5,2022,Silver,56724,483,58,xDrive50e
Ram,1500,2020,Charcoal,28024,305,23,Big Horn
Hyundai,Tucson,2021,White,19854,187,28,SEL
Jeep,Grand Cherokee,2024,Charcoal,42632,293,22,Limited
Honda,CR-V,2023,Midnight Blue,23992,190,30,LX
Subaru,Outback,2023,Midnight Blue,26391,182,28,Premium
Chevrolet,Corvette,2022,Blue,60624,490,19,Stingray 3LT
Jeep,Wrangler,2022,Yellow,25026,285,20,Sport
Subaru,Crosstrek,2024,Green,22705,152,29,Base
Subaru,Crosstrek,2024,Green,29662,182,29,Limited
Ram,1500,2023,Midnight Blue,39476,305,23,Big Horn
Subaru,Crosstrek,2022,Pearl White,22243,182,29,Limited
Ford,Mustang,2024,Blue,54300,500,17,Dark Horse
Jeep,Grand Cherokee,2020,Yellow,23160,293,22,Laredo
Subaru,Outback,2024,Blue,27726,182,28,Base
Tesla,Model Y,2025,Charcoal,48837,384,122,Long Range
Hyundai,Tucson,2021,Red,18622,187,28,SE
Subaru,Outback,2023,Yellow,33584,260,23,Wilderness
Volkswagen,Jetta,2024,Pearl White,22336,158,34,Sport
Nissan,Rogue,2022,Matte Black,29324,201,33,Platinum
Jeep,Wrangler,2022,Midnight Blue,32596,285,19,Willys
Kia,Telluride,2024,White,47716,291,23,SX Prestige
BMW,X5,2024,Grey,64945,483,58,xDrive50e
Toyota,Prius,2022,Red,20545,194,57,LE
Chevrolet,Silverado 1500,2024,Blue,45775,310,20,LT
Toyota,RAV4,2021,Blue,28168,203,28,TRD Off-Road
Chevrolet,Silverado 1500,2025,Matte Black,53797,355,19,RST
BMW,X5,2023,Silver,75194,523,19,M60i
Honda,Civic,2023,Pearl White,26097,180,34,Touring
Jeep,Wrangler,2021,Green,34501,285,17,Rubicon
Audi,A4,2024,Green,39534,201,30,Premium 40
Nissan,Rogue,2024,Silver,28323,201,33,S
Toyota,Prius,2024,Silver,33327,194,52,Limited
Jeep,Grand Cherokee,2024,Green,55788,293,22,Summit
Hyundai,Tucson,2020,White,23236,226,38,Hybrid Blue
Toyota,Camry,2022,Charcoal,27769,301,25,TRD
Tesla,Model S,2022,Charcoal,57444,670,120,Long Range
Mercedes-Benz,GLE,2024,White,81003,429,20,AMG GLE 53
Audi,A4,2024,Charcoal,48145,349,24,S4
BMW,3 Series,2022,Charcoal,58949,473,19,M3
Tesla,Model Y,2023,Orange,39999,384,122,Long Range
Chevrolet,Corvette,2020,Red,51178,490,19,Stingray 2LT
Audi,A4,2023,Midnight Blue,38612,261,28,Premium Plus 45
Ram,1500,2025,Matte Black,96479,702,12,TRX
Kia,Telluride,2022,Silver,29998,291,23,S
Toyota,Tacoma,2025,Matte Black,41549,278,20,TRD Off-Road
BMW,X5,2022,Yellow,68085,523,19,M60i
Nissan,Rogue,2020,Green,19708,201,33,SV
BMW,X5,2023,Charcoal,61460,483,58,xDrive50e
Mercedes-Benz,GLE,2023,Red,51030,255,24,GLE 350
BMW,X5,2021,Burgundy,63616,523,19,M60i
Ram,1500,2022,Silver,30523,305,23,Tradesman
Subaru,Crosstrek,2023,Red,20884,152,29,Base
Chevrolet,Tahoe,2022,Burgundy,61361,420,16,High Country
Nissan,Rogue,2025,Midnight Blue,39913,201,33,Platinum
BMW,X5,2023,Blue,56785,375,25,sDrive40i
BMW,X5,2023,Matte Black,61809,483,58,xDrive50e
Honda,Pilot,2024,Burgundy,36290,285,22,Sport
Mercedes-Benz,C-Class,2022,Blue,45422,402,22,AMG C 43
BMW,3 Series,2025,Green,43444,255,29,330i
Ram,1500,2024,Grey,88975,702,12,TRX
Kia,K5,2022,Blue,25329,290,27,GT
Honda,Civic,2025,Matte Black,24552,158,35,LX
Jeep,Grand Cherokee,2024,Blue,41865,293,22,Limited
Subaru,Outback,2023,Yellow,25580,182,28,Premium
Volkswagen,Jetta,2024,Silver,19922,158,34,Sport
BMW,X5,2025,Green,72216,483,58,xDrive50e
Subaru,Crosstrek,2021,Matte Black,17522,152,29,Base
Ford,F-150,2023,Burgundy,66254,450,16,Raptor
Honda,CR-V,2020,Black,23854,204,40,Sport Hybrid
Kia,Telluride,2024,Orange,47184,291,23,SX Prestige
Audi,Q5,2022,Pearl White,33649,201,26,Premium 40
Toyota,Tacoma,2022,Red,31836,278,20,TRD Off-Road
Volkswagen,Tiguan,2025,Charcoal,30189,184,27,SE
Subaru,Outback,2021,Silver,20487,182,28,Premium
Volkswagen,Tiguan,2024,White,30904,184,27,SE
Ford,Bronco,2023,Blue,33911,275,20,Big Bend
Kia,K5,2021,Yellow,19459,180,31,GT-Line
Kia,Telluride,2023,Yellow,30747,291,23,LX
Subaru,Outback,2021,Pearl White,20539,182,28,Base
BMW,X5,2025,White,71679,483,58,xDrive50e
Nissan,Rogue,2020,Matte Black,18413,201,33,SV
Audi,A4,2022,Pearl White,35228,261,28,Premium Plus 45
Jeep,Wrangler,2024,Burgundy,30448,285,20,Sport
Chevrolet,Tahoe,2023,Blue,47447,355,17,LS
Nissan,Altima,2020,Yellow,25230,248,29,SR VC-Turbo
Mercedes-Benz,GLE,2025,Yellow,69575,375,22,GLE 450
Volkswagen,Jetta,2020,Pearl White,15270,158,34,Sport
Ford,F-150,2020,Black,26010,325,20,XL
Honda,CR-V,2022,Green,24644,204,40,Sport Hybrid
Audi,Q5,2021,Yellow,40470,349,21,SQ5
Ram,1500,2021,White,27576,305,23,Tradesman
Audi,A4,2021,Red,33653,261,28,Premium Plus 45
Mercedes-Benz,GLE,2020,Midnight Blue,45807,375,22,GLE 450
Volkswagen,Jetta,2021,Black,14541,158,34,Sport
Chevrolet,Silverado 1500,2022,Matte Black,27273,310,20,WT
Ram,1500,2021,Orange,32448,305,23,Big Horn
Tesla,Model Y,2024,Matte Black,47263,456,111,Performance
Toyota,Prius,2020,White,16799,194,57,LE
Tesla,Model Y,2024,White,43024,384,122,Long Range
Honda,CR-V,2022,Grey,24785,204,40,Sport Hybrid
BMW,3 Series,2023,Charcoal,47535,382,26,M340i
Hyundai,Tucson,2023,Blue,23485,187,28,SEL
Nissan,Altima,2024,Blue,25386,188,32,SR
Ford,F-150,2023,Grey,32261,325,20,XL
Subaru,Crosstrek,2023,Pearl White,26363,182,29,Limited
Nissan,Altima,2025,Red,27860,188,32,S
Kia,K5,2023,Yellow,24549,180,31,GT-Line
Mercedes-Benz,C-Class,2024,Red,41994,255,30,C 300
Subaru,Crosstrek,2023,Midnight Blue,21420,152,29,Base
Toyota,Prius,2023,Grey,31037,194,52,Limited
Toyota,Camry,2024,Pearl White,23717,203,32,LE
Mercedes-Benz,C-Class,2025,Black,48650,255,30,C 300
Hyundai,Elantra,2023,Black,25436,201,31,N Line
Ram,1500,2020,Green,61857,702,12,TRX
Nissan,Rogue,2023,Blue,32349,201,33,Platinum
Nissan,Altima,2021,White,20652,188,32,SR
Kia,K5,2022,Green,19988,180,31,LXS
Tesla,Model Y,2024,Orange,46552,384,122,Long Range
Tesla,Model Y,2025,Pearl White,47649,384,122,Long Range
Ford,Explorer,2020,Pearl White,25876,300,24,XLT
BMW,3 Series,2022,Matte Black,58644,473,19,M3
Jeep,Grand Cherokee,2022,Grey,49241,293,22,Summit
Audi,A4,2024,White,38741,201,30,Premium 40
Kia,K5,2022,Burgundy,21388,180,31,GT-Line
Ford,F-150,2024,Pearl White,43720,325,20,XLT
Ford,Explorer,2021,Blue,27918,300,24,XLT
Volkswagen,Jetta,2020,Black,21358,228,30,GLI Autobahn
Audi,A4,2023,Orange,46999,349,24,S4
Ford,Bronco,2022,Charcoal,35609,275,20,Outer Banks
Ram,1500,2024,Grey,52345,395,22,Laramie
Tesla,Model Y,2024,Charcoal,48140,456,111,Performance
BMW,3 Series,2023,Silver,48577,382,26,M340i
Audi,A4,2022,Matte Black,44206,349,24,S4
Toyota,Tacoma,2022,Yellow,29383,278,20,TRD Sport
Ram,1500,2021,White,29716,305,23,Tradesman
Volkswagen,Jetta,2023,Black,19087,158,34,S
Honda,Civic,2024,Black,23534,158,35,LX
Hyundai,Elantra,2022,White,23253,201,31,N Line
Toyota,Tacoma,2024,Grey,49262,278,21,Limited
Kia,K5,2023,Silver,19836,180,31,LXS
Kia,Telluride,2022,Blue,27990,291,23,LX
Nissan,Altima,2020,White,15997,188,32,S
Volkswagen,Jetta,2025,White,22220,158,34,Sport
Kia,K5,2022,Burgundy,26747,290,27,GT
Subaru,Outback,2025,Grey,30352,182,28,Premium
Jeep,Grand Cherokee,2023,Grey,53254,293,22,Summit
Ram,1500,2021,Silver,30647,305,23,Big Horn
Mercedes-Benz,C-Class,2025,Pearl White,61692,402,22,AMG C 43
Hyundai,Elantra,2020,Pearl White,13345,147,36,SE
Kia,Telluride,2023,White,31852,291,23,S
Subaru,Crosstrek,2022,Red,24682,182,29,Sport
BMW,3 Series,2022,White,33379,255,29,330i
Mercedes-Benz,GLE,2022,Red,67021,429,20,AMG GLE 53
Chevrolet,Silverado 1500,2024,Green,47806,355,19,RST
Subaru,Crosstrek,2023,White,20799,152,29,Base
Honda,Pilot,2022,Burgundy,32765,285,22,Sport
BMW,X5,2021,White,64496,523,19,M60i
Mercedes-Benz,GLE,2024,Pearl White,78071,429,20,AMG GLE 53
Tesla,Model 3,2020,Matte Black,31414,393,130,Long Range
Toyota,Prius,2024,Blue,33325,194,52,Limited
Nissan,Altima,2023,Grey,30206,248,29,SR VC-Turbo
Hyundai,Elantra,2020,Pearl White,21357,276,24,N
Subaru,Crosstrek,2023,Red,24266,182,29,Limited
Honda,Civic,2022,Red,24941,180,34,Touring
Volkswagen,Jetta,2024,Silver,28197,228,30,GLI Autobahn
Audi,Q5,2024,Blue,44695,261,25,Premium Plus 45
Mercedes-Benz,GLE,2024,Green,65488,375,22,GLE 450
Mercedes-Benz,GLE,2021,Midnight Blue,44189,255,24,GLE 350
Honda,Civic,2024,Blue,24476,158,33,Sport
Toyota,Tacoma,2023,Red,42159,278,21,Limited
Mercedes-Benz,C-Class,2022,Pearl White,48038,402,22,AMG C 43
Ram,1500,2023,White,54809,395,22,Limited
Mercedes-Benz,GLE,2024,Silver,80859,429,20,AMG GLE 53
Nissan,Altima,2023,Grey,22689,188,32,S
Hyundai,Tucson,2022,Green,24172,226,38,Hybrid Blue
Audi,A4,2024,Pearl White,43327,261,28,Premium Plus 45
Hyundai,Elantra,2024,Pearl White,19817,147,34,SEL
Subaru,Outback,2021,Grey,22918,182,28,Premium
Volkswagen,Tiguan,2024,Black,26079,184,27,S
Nissan,Altima,2023,Grey,31138,248,29,SR VC-Turbo
Honda,CR-V,2024,Orange,29819,204,40,Sport Hybrid
Tesla,Model 3,2024,Yellow,45266,393,130,Long Range
Audi,Q5,2024,Matte Black,43432,201,26,Premium 40
Hyundai,Elantra,2020,Green,16708,147,34,SEL
Ram,1500,2022,Green,52376,395,22,Limited
Tesla,Model Y,2024,Yellow,48667,456,111,Performance
Volkswagen,Tiguan,2022,Charcoal,29243,184,26,SEL R-Line
Audi,A4,2020,Pearl White,29013,261,28,Premium Plus 45
Tesla,Model S,2020,Yellow,60263,1020,116,Plaid
Mercedes-Benz,C-Class,2025,Orange,61601,402,22,AMG C 43
Kia,K5,2023,Red,21635,180,31,LXS
Toyota,Camry,2023,Yellow,20627,203,32,LE
Ford,Bronco,2020,Silver,34518,275,17,Badlands
Volkswagen,Jetta,2023,Grey,17194,158,34,Sport
BMW,X5,2024,Burgundy,60707,375,25,sDrive40i
Subaru,Crosstrek,2023,Grey,22290,152,29,Base
Jeep,Wrangler,2022,Burgundy,32679,285,19,Willys
Toyota,RAV4,2023,Black,23968,203,30,XLE
Audi,Q5,2020,Yellow,36305,349,21,SQ5
Tesla,Model S,2024,Silver,70098,670,120,Long Range
Volkswagen,Tiguan,2020,Silver,22070,184,27,SE
Jeep,Wrangler,2024,Silver,29582,285,20,Sport
Tesla,Model S,2020,Yellow,48793,670,120,Long Range
Audi,Q5,2020,Matte Black,34678,261,25,Premium Plus 45
Kia,Telluride,2022,Blue,30032,291,23,S
Tesla,Model Y,2024,Matte Black,49298,456,111,Performance
Volkswagen,Tiguan,2024,Burgundy,26022,184,27,S
Ram,1500,2023,Blue,35002,305,23,Tradesman
Jeep,Grand Cherokee,2023,Silver,39690,293,22,Limited
Jeep,Wrangler,2022,Midnight Blue,30467,285,19,Willys
Chevrolet,Tahoe,2024,Silver,51070,355,17,LS
Toyota,Tacoma,2024,Orange,38066,278,20,TRD Off-Road
Jeep,Grand Cherokee,2024,Grey,43515,293,22,Limited
Mercedes-Benz,GLE,2022,Burgundy,54114,375,22,GLE 450
Ford,Bronco,2022,Midnight Blue,31240,275,20,Big Bend
Tesla,Model 3,2023,Midnight Blue,44528,510,113,Performance
BMW,3 Series,2024,Green,69300,473,19,M3
Honda,Civic,2022,Silver,20372,158,35,LX
Mercedes-Benz,C-Class,2024,Silver,44472,255,30,C 300
Subaru,Outback,2021,Matte Black,22042,182,28,Premium
Subaru,Crosstrek,2024,Green,26499,182,29,Limited
Tesla,Model S,2021,Green,55645,670,120,Long Range
Ford,Bronco,2022,Silver,39059,275,20,Outer Banks
BMW,3 Series,2024,Matte Black,68927,473,19,M3
Mercedes-Benz,C-Class,2021,Midnight Blue,43790,402,22,AMG C 43
Kia,Telluride,2025,Red,36975,291,23,LX
Audi,Q5,2020,Green,39229,349,21,SQ5
Nissan,Altima,2024,Silver,33534,248,29,SR VC-Turbo
Volkswagen,Tiguan,2024,Burgundy,28310,184,27,S
Audi,A4,2021,Yellow,37456,349,24,S4
Subaru,Outback,2024,Silver,35799,260,26,Onyx Edition XT
Chevrolet,Tahoe,2022,Midnight Blue,42206,355,17,LS
Volkswagen,Jetta,2021,Midnight Blue,15166,158,34,Sport
Mercedes-Benz,C-Class,2023,Charcoal,40286,255,30,C 300
Jeep,Grand Cherokee,2024,Matte Black,43697,293,22,Limited
Toyota,Tacoma,2023,White,34912,278,20,TRD Off-Road
Hyundai,Tucson,2023,Blue,22062,187,28,SE
Ford,Bronco,2025,Orange,48853,275,17,Badlands
BMW,X5,2022,Green,70978,523,19,M60i
Jeep,Wrangler,2021,Orange,22721,285,20,Sport
Toyota,RAV4,2022,White,31172,203,28,TRD Off-Road
Nissan,Altima,2023,Silver,24030,188,32,SR
Audi,Q5,2024,Blue,45340,261,25,Premium Plus 45
Toyota,Camry,2022,Grey,20165,203,32,SE
Ram,1500,2025,Silver,56709,395,22,Laramie
Jeep,Grand Cherokee,2024,Matte Black,42662,293,22,Limited
Kia,Telluride,2023,Silver,31075,291,23,S
Ford,Explorer,2023,Burgundy,40377,300,24,ST-Line
Jeep,Wrangler,2024,Red,34936,285,19,Willys
BMW,X5,2024,Yellow,59827,375,25,sDrive40i
Jeep,Wrangler,2025,Charcoal,94035,470,14,Rubicon 392
Kia,Telluride,2024,Orange,45269,291,23,SX Prestige
Tesla,Model S,2022,Orange,59158,670,120,Long Range
Jeep,Grand Cherokee,2023,Grey,53923,293,22,Summit
BMW,3 Series,2024,Charcoal,69732,473,19,M3
Hyundai,Tucson,2023,Yellow,28496,226,38,Hybrid Blue
Honda,Civic,2025,White,28408,180,36,EX
Mercedes-Benz,C-Class,2022,Black,38231,255,30,C 300
Chevrolet,Tahoe,2023,Matte Black,53332,355,17,LT
Kia,K5,2025,Burgundy,26705,180,31,LXS
Chevrolet,Silverado 1500,2023,Burgundy,44442,355,19,RST
Toyota,RAV4,2022,Black,27248,203,28,Adventure
Honda,CR-V,2020,White,18238,190,30,LX
Nissan,Altima,2020,White,18377,188,32,SR
Mercedes-Benz,GLE,2020,Orange,39579,255,24,GLE 350
Jeep,Wrangler,2020,Green,30528,285,17,Rubicon
Mercedes-Benz,GLE,2024,Orange,62918,375,22,GLE 450
Honda,Pilot,2024,Black,43185,285,20,TrailSport
Hyundai,Elantra,2025,Matte Black,22185,147,36,SE
Jeep,Wrangler,2023,Grey,41182,285,17,Rubicon
Chevrolet,Silverado 1500,2024,Charcoal,33522,310,20,WT
Audi,A4,2023,Silver,38182,261,28,Premium Plus 45
Jeep,Wrangler,2024,Orange,86078,470,14,Rubicon 392
Audi,Q5,2022,White,44099,349,21,SQ5
Volkswagen,Jetta,2025,Red,21375,158,34,S
Toyota,Prius,2022,Matte Black,26844,194,52,Limited
BMW,X5,2023,Yellow,75036,523,19,M60i
Ford,Explorer,2022,Silver,40798,400,21,ST
Audi,A4,2024,Blue,37683,201,30,Premium 40
Nissan,Altima,2020,Black,22239,248,29,SR VC-Turbo
Mercedes-Benz,C-Class,2024,Silver,54219,402,22,AMG C 43
Ford,F-150,2022,Yellow,61793,450,16,Raptor
Ford,F-150,2024,Midnight Blue,44530,325,20,XLT
Mercedes-Benz,C-Class,2021,Pearl White,42293,402,22,AMG C 43
Volkswagen,Jetta,2024,Silver,21183,158,34,S
Honda,Civic,2024,Green,24754,180,36,EX
Mercedes-Benz,GLE,2025,White,68640,375,22,GLE 450
Audi,A4,2024,Grey,42994,261,28,Premium Plus 45
Honda,Pilot,2023,Pearl White,39904,285,20,TrailSport
Audi,A4,2022,Burgundy,36815,261,28,Premium Plus 45
Nissan,Altima,2023,White,25564,188,32,SR
